Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
8,1,76,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",-0.724,15
8,2,48,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",3.469,15
8,0,74,TOVPlayerAttack,Default Attack against 21,-0.184,16
8,1,73,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",0.298,16
8,2,36,TOVPlayerUseCard,Played the card: Life tap,6.118,16
8,0,72,TOVPlayerAttack,Default Attack against 30,0.78,17
8,1,72,TOVPlayerUseCard,Played the card: Dazzle,1.283,17
8,2,33,TOVPlayerAttack,Default Attack against 24,5.711,17
8,0,71,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",1.694,18
8,1,70,TOVPlayerAttack,Default Attack against 25,2.259,18
8,2,30,TOVPlayerAttack,Default Attack against 26,6.832,18
8,0,68,TOVPlayerAttack,Default Attack against 29,2.771,19
8,1,68,TOVPlayerAttack,Default Attack against 21,3.217,19
8,2,30,TOVPlayerAttack,Default Attack against 25,7.963,19
8,0,67,TOVPlayerAttack,Default Attack against 27,3.667,20
8,1,67,TOVPlayerUseCard,Played the card: Taunt,4.169,20
8,2,27,TOVPlayerAttack,Default Attack against 22,9.007,20
8,0,65,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",4.508,21
8,1,64,TOVPlayerUseCard,Played the card: Dazzle,5.075,21
8,2,27,TOVPlayerAttack,Default Attack against 27,10.078,21
8,0,65,TOVPlayerAttack,Default Attack against 22,5.345,22
8,1,63,TOVPlayerAttack,Default Attack against 20,6.144,22
8,2,24,TOVPlayerAttack,Default Attack against 25,11.047,22
8,0,63,TOVPlayerUseCard,Played the card: Empower,6.135,23
8,1,63,TOVPlayerAttack,Default Attack against 30,6.99,23
8,2,22,TOVPlayerAttack,Default Attack against 23,11.997,23
8,0,61,TOVPlayerUseCard,Played the card: Cleave,6.928,24
8,1,62,TOVPlayerAttack,Default Attack against 29,8.024,24
8,2,19,TOVPlayerAttack,Default Attack against 20,18.15,24
8,0,58,TOVPlayerAttack,Default Attack against 25,9.078,25
8,1,60,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",8.825,25
8,2,18,TOVPlayerUseCard,Played the card: null,19.182,25
8,0,55,TOVPlayerAttack,Default Attack against 20,9.88,26
8,1,57,TOVPlayerUseCard,Played the card: Taunt,11.072,26
8,2,5,TOVPlayerUseCard,Played the card: Life tap,22.114,26
8,0,54,TOVPlayerAttack,Default Attack against 23,10.647,27
8,1,54,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",11.879,27
8,2,15,TOVPlayerUseCard,Played the card: Heal,26.273,27
8,0,51,TOVPlayerAttack,Default Attack against 23,11.384,28
8,1,54,TOVPlayerAttack,Default Attack against 22,12.653,28
8,2,13,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",22.071,28
8,0,49,TOVPlayerUseCard,Played the card: null,11.691,29
8,1,54,TOVPlayerAttack,Default Attack against 25,13.404,29
8,2,1,TOVPlayerUseCard,Played the card: Life tap,25.057,29
8,0,48,TOVPlayerAttack,Default Attack against 23,12.617,30
8,1,54,TOVPlayerUseCard,Played the card: Dazzle,14.118,30
8,2,1,TOVPlayerAttack,Default Attack against 22,23.849,30
8,0,45,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",13.216,31
8,1,52,TOVPlayerUseCard,Played the card: null,14.827,31
8,2,1,TOVPlayerAttack,Default Attack against 25,24.754,31
8,0,44,TOVPlayerUseCard,Played the card: Empower,13.826,32
8,1,51,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",15.5,32
8,2,1,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",25.599,32
8,0,43,TOVPlayerAttack,Default Attack against 30,14.691,33
8,1,51,TOVPlayerUseCard,Played the card: Taunt,16.218,33
8,2,100,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",25.586,33
8,0,40,TOVPlayerAttack,Default Attack against 27,15.283,34
8,1,51,TOVPlayerUseCard,Played the card: Taunt,16.92,34
8,2,87,TOVPlayerUseCard,Played the card: Life tap,28.991,34
8,0,40,TOVPlayerUseCard,Played the card: Empower,15.859,35
8,1,49,TOVPlayerAttack,Default Attack against 21,17.157,35
8,2,94,TOVPlayerUseCard,Played the card: Heal,33.137,35
8,0,39,TOVPlayerAttack,Default Attack against 29,16.447,36
8,1,47,TOVPlayerUseCard,Played the card: Taunt,17.818,36
8,2,82,TOVPlayerUseCard,Played the card: Life tap,33.98,36
8,0,38,TOVPlayerUseCard,Played the card: Empower,16.967,37
8,1,45,TOVPlayerAttack,Default Attack against 25,18.405,37
8,2,80,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",28.634,37
8,0,36,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",17.448,38
8,1,42,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",18.943,38
8,2,70,TOVPlayerUseCard,Played the card: Life tap,32.113,38
8,0,35,TOVPlayerUseCard,Played the card: Empower,17.933,39
8,1,41,TOVPlayerAttack,Default Attack against 29,19.503,39
8,2,57,TOVPlayerUseCard,Played the card: Life tap,34.593,39
8,0,32,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",18.354,40
8,1,40,TOVPlayerAttack,Default Attack against 27,20.329,40
8,2,55,TOVPlayerAttack,Default Attack against 26,32.509,40
8,0,29,TOVPlayerAttack,Default Attack against 29,18.827,41
8,1,38,TOVPlayerUseCard,Played the card: null,20.821,41
8,2,44,TOVPlayerUseCard,Played the card: Life tap,35.495,41
8,0,26,TOVPlayerAttack,Default Attack against 30,19.257,42
8,1,38,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",21.306,42
8,2,54,TOVPlayerUseCard,Played the card: Heal,40.405,42
8,0,23,TOVPlayerUseCard,Played the card: null,19.62,43
8,1,36,TOVPlayerAttack,Default Attack against 28,21.804,43
8,2,52,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",34.46,43
8,0,22,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",20.024,44
8,1,33,TOVPlayerAttack,Default Attack against 22,29.741,44
8,2,51,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",35.055,44
8,0,20,TOVPlayerAttack,Default Attack against 21,20.451,45
8,1,32,TOVPlayerUseCard,Played the card: Dazzle,30.274,45
8,2,41,TOVPlayerUseCard,Played the card: Life tap,38.006,45
8,0,17,TOVPlayerAttack,Default Attack against 25,20.821,46
